,func_num,min_time,avg_time,std_dev
serial,func1,136.0,161.7,22.36589665837999
serial,func2,7.0,8.6,2.065591117977289
serial,func3,1264.0,1339.8,52.82002987083172
parallel,func1_th2,42.0,44.3,4.164666186436129
parallel,func2_th2,2.0,2.0,0.0
parallel,func3_th2,99.0,100.2,1.8737959096740262
queue,func1_th11,30.0,30.8,1.8737959096740262
queue,func2_th11,3.0,5.8,2.250925735484551
queue,func3_th11,19.0,20.6,1.0749676997731399
tpool,func1_th12,27.0,28.0,0.4714045207910317
tpool,func2_th12,3.0,5.3,2.263232692902394
tpool,func3_th12,17.0,18.8,1.3984117975602022
